1,NEC,1,254,0
POWER,NEC,1,254,1
PLAY,NEC,1,254,3
4,NEC,1,254,4
3,NEC,1,254,6
2,NEC,1,254,7
7,NEC,1,254,8
FAV,NEC,1,254,9
6,NEC,1,254,10
5,NEC,1,254,11
SUBT,NEC,1,254,12
AUDIO,NEC,1,254,13
9,NEC,1,254,14
8,NEC,1,254,15
REW,NEC,1,254,16
MUTE,NEC,1,254,18
0,NEC,1,254,19
TXT,NEC,1,254,20
OK,NEC,1,254,21
INFO,NEC,1,254,22
UP,NEC,1,254,23
DOWN,NEC,1,254,26
STOP,NEC,1,254,28
CH-,NEC,1,254,30
RECALL,NEC,1,254,31
CH+,NEC,1,254,64
RIGHT,NEC,1,254,65
LEFT,NEC,1,254,66
TVRADIO,NEC,1,254,67
RED,NEC,1,254,68
GREEN,NEC,1,254,69
YELLOW,NEC,1,254,70
BLUE,NEC,1,254,71
EXIT,NEC,1,254,78
NEXT,NEC,1,254,82
REC,NEC,1,254,83
PREV,NEC,1,254,86
FF,NEC,1,254,87
MENU,NEC,1,254,90
EPG,NEC,1,254,91
