Alphabetical,Protocol,Device,SubDevice,Function,FunctionName
34,NEC1-rnc,114,221,0,PAUSE
35,NEC1-rnc,114,221,0,PLAY
31,NEC1,114,221,3,MENU MAIN
39,NEC1,114,221,4,RECORD
29,NEC1,114,221,7,LIST
17,NEC1,114,221,8,DIGIT 8
18,NEC1,114,221,9,DIGIT 9
16,NEC1,114,221,11,DIGIT 7
14,NEC1,114,221,12,DIGIT 5
15,NEC1,114,221,13,DIGIT 6
36,NEC1,114,221,14,POWER TOGGLE
13,NEC1,114,221,15,DIGIT 4
11,NEC1,114,221,16,DIGIT 2
12,NEC1-rnc,114,221,17,DIGIT 3
10,NEC1,114,221,19,DIGIT 1
43,NEC1,114,221,20,SUBTITLE
30,NEC1,114,221,22,MENU HOME
23,NEC1,114,221,24,FUNCTION GREEN
25,NEC1,114,221,25,FUNCTION YELLOW
32,NEC1,114,221,26,MUTE TOGGLE
24,NEC1,114,221,27,FUNCTION RED
6,NEC1,114,221,28,CURSOR LEFT
4,NEC1,114,221,29,CURSOR DOWN
28,NEC1,114,221,30,INPUT SCROLL
26,NEC1,114,221,31,GUIDE
21,NEC1,114,221,65,FORWARD
44,NEC1,114,221,67,VOLUME DOWN
8,NEC1-rnc,114,221,68,CURSOR UP
38,NEC1,114,221,71,PREVIOUS CHANNEL
7,NEC1,114,221,72,CURSOR RIGHT
45,NEC1,114,221,73,VOLUME UP
9,NEC1,114,221,75,DIGIT 0
27,NEC1,114,221,76,INFO
2,NEC1,114,221,77,CHANNEL DOWN
41,NEC1,114,221,80,SLEEP
3,NEC1,114,221,81,CHANNEL UP
42,NEC1,114,221,87,STOP
22,NEC1,114,221,89,FUNCTION BLUE
33,NEC1,114,221,90,NEXT
37,NEC1,114,221,91,PREVIOUS
5,NEC1,114,221,92,CURSOR ENTER
19,NEC1,114,221,93,EXIT
20,NEC1,114,221,94,FAVORITES
40,NEC1,114,221,95,REVERSE
1,NEC1-rnc,114,221,204,APPS
