Protocol,Device,SubDevice,Function,FunctionName
NEC1,0,127,1,DIGIT 1
NEC1,0,127,3,EXIT
NEC1,0,127,4,POWER TOGGLE
NEC1,0,127,5,DIGIT 2
NEC1,0,127,7,CURSOR LEFT
NEC1,0,127,8,MUTE TOGGLE
NEC1,0,127,9,DIGIT 3
NEC1,0,127,11,CURSOR DOWN
NEC1,0,127,13,DIGIT 4
NEC1,0,127,14,INPUT SCROLL
NEC1,0,127,15,INFO
NEC1,0,127,19,CURSOR ENTER
NEC1,0,127,23,CURSOR RIGHT
NEC1,0,127,27,MENU MAIN
NEC1,0,127,31,CURSOR UP
NEC1,0,127,64,VOLUME DOWN
NEC1,0,127,67,DIGIT 9
NEC1-rnc,0,127,68,LIST
NEC1-rnc,0,127,68,PREVIOUS
NEC1,0,127,71,DIGIT 0
NEC1,0,127,72,FAVORITE
NEC1,0,127,72,NEXT
NEC1,0,127,73,AUDIO
NEC1,0,127,76,CHANNEL DOWN
NEC1,0,127,77,SUBTITLE
NEC1,0,127,78,DISPLAY
NEC1,0,127,78,TELETEXT
NEC1,0,127,79,PREVIOUS CHANNEL
NEC1,0,127,80,VOLUME UP
NEC1,0,127,82,FUNCTION RED
NEC1,0,127,82,PROGRAM
NEC1,0,127,83,DIGIT 5
NEC1,0,127,84,OPEN/CLOSE
NEC1-rnc,0,127,85,GUIDE
NEC1-rnc,0,127,85,REVERSE
NEC1,0,127,86,FUNCTION GREEN
NEC1,0,127,86,STEP
NEC1,0,127,87,DIGIT 6
NEC1,0,127,88,PLAY PAUSE TOGGLE
NEC1,0,127,89,FORMAT SCROLL
NEC1,0,127,89,FORWARD
NEC1,0,127,90,FUNCTION YELLOW
NEC1,0,127,90,REPEAT
NEC1,0,127,91,DIGIT 7
NEC1,0,127,92,CHANNEL UP
NEC1,0,127,93,FREEZE
NEC1,0,127,93,STOP
NEC1,0,127,94,FUNCTION BLUE
NEC1,0,127,94,REPEAT A B
NEC1,0,127,95,DIGIT 8
