YELLOW,NEC,0,191,0
VOL+,NEC,0,191,1
VOL-,NEC,0,191,2
BLUE,NEC,0,191,3
STOP,NEC,0,191,4
EXIT,NEC,0,191,5
UP,NEC,0,191,6
BLANK,NEC,0,191,7
PREV,NEC,0,191,8
NEXT,NEC,0,191,11
9,NEC,0,191,12
PRG+,NEC,0,191,13
GOTO,NEC,0,191,14
0,NEC,0,191,15
3,NEC,0,191,16
PRG-,NEC,0,191,17
PRT,NEC,0,191,18
BACK,NEC,0,191,19
6,NEC,0,191,20
TV/RADIO,NEC,0,191,21
DOWN,NEC,0,191,22
INFO,NEC,0,191,23
TXT,NEC,0,191,24
MUTE,NEC,0,191,25
OK,NEC,0,191,26
RIGHT,NEC,0,191,27
GREEN,NEC,0,191,64
RED,NEC,0,191,66
PAUSE,NEC,0,191,68
MENU,NEC,0,191,69
PLAY,NEC,0,191,70
FF,NEC,0,191,72
REV,NEC,0,191,74
8,NEC,0,191,76
EPG,NEC,0,191,77
7,NEC,0,191,78
2,NEC,0,191,80
AUDIO,NEC,0,191,81
1,NEC,0,191,82
5,NEC,0,191,84
FAV,NEC,0,191,85
4,NEC,0,191,86
SUBT,NEC,0,191,88
POWER,NEC,0,191,89
LEFT,NEC,0,191,90
